T0,T2,T1,lagT1,lagT2,lagEnd,responseT1,responseT2,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_context.thisRepN,trials_context.thisTrialN,trials_context.thisN,trials_context.thisIndex,trials_T1.thisRepN,trials_T1.thisTrialN,trials_T1.thisN,trials_T1.thisIndex,trials_T2.thisRepN,trials_T2.thisTrialN,trials_T2.thisN,trials_T2.thisIndex,thisRow.t,notes,instructions.started,text_insctructions.started,instructions.stopped,context.started,context_word.started,blankContext.started,context_word.stopped,blankContext.stopped,context.stopped,distractors.started,text_disctractors.started,text_disctractors.stopped,distractors.stopped,T1_number.started,text_T1.started,text_T1.stopped,T1_number.stopped,T2_probe.started,text_T2.started,text_T2.stopped,T2_probe.stopped,Ask_T1.started,blankT1_1.started,blankT1_1.stopped,text_T1ask.started,key_resp_T1.started,blankT1_2.started,text_T1ask.stopped,key_resp_T1.stopped,blankT1_2.stopped,Ask_T1.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
XSTOREX,XXSHOPX,1111111,9,3,8,j,f,0,0,0,6,,,,,0,0,0,1,,,,,3.9645827000495046,,0.03383160009980202,0.04871660005301237,0.21406030002981424,0.21940820012241602,0.2304269999731332,1.2120473999530077,1.2456465000286698,2.2129645000677556,2.196481900056824,3.9535902000498027,3.9645827000495046,4.04806760000065,4.031775200041011,3.781195200048387,3.882068600039929,3.9645827000495046,3.9486249000765383,,,,,,,,,,,,,,,121173,001,2024-03-06_16h34.22.762,AB,2023.2.3,60.65741729715507,2024-03-06 16h34.32.120362 +0100,
XSTRAWX,XXHAYXX,4444444,7,1,12,f,f,0,0,0,6,,,,,0,1,1,6,,,,,4.04806760000065,,,,,,,,,,,4.0320351999253035,4.04806760000065,4.13158049993217,4.115767000010237,,,,,,,,,,,,,,,,,,,121173,001,2024-03-06_16h34.22.762,AB,2023.2.3,60.65741729715507,2024-03-06 16h34.32.120362 +0100,
XPONDER,XTHINKX,5555555,9,7,4,j,f,0,0,0,6,,,,,0,2,2,4,,,,,4.13158049993217,,,,,,,,,,,4.116076600039378,4.13158049993217,4.215151200070977,4.198669499950483,,,,,,,,,,,,,,,,,,,121173,001,2024-03-06_16h34.22.762,AB,2023.2.3,60.65741729715507,2024-03-06 16h34.32.120362 +0100,
XWEEDSX,XROOTSX,7777777,8,3,9,j,f,0,0,0,6,,,,,0,3,3,7,,,,,4.215151200070977,,,,,,,,,,,4.198944899952039,4.215151200070977,4.299323899904266,4.282397200120613,,,,,,,,,,,,,,,,,,,121173,001,2024-03-06_16h34.22.762,AB,2023.2.3,60.65741729715507,2024-03-06 16h34.32.120362 +0100,
XXCATXX,XKITTEN,9999999,10,1,9,j,f,0,0,0,6,,,,,0,4,4,3,,,,,4.299323899904266,,,,,,,,,,,4.282666699960828,4.299323899904266,4.381691500078887,4.3654466001316905,,,,,,,,,,,,,,,,,,,121173,001,2024-03-06_16h34.22.762,AB,2023.2.3,60.65741729715507,2024-03-06 16h34.32.120362 +0100,
XXBAGXX,XXSACKX,3333333,9,3,8,j,f,0,0,0,6,,,,,0,5,5,5,,,,,4.381691500078887,,,,,,,,,,,4.365700399968773,4.381691500078887,4.465114200022072,4.448823899962008,,,,,,,,,,,,,,,,,,,121173,001,2024-03-06_16h34.22.762,AB,2023.2.3,60.65741729715507,2024-03-06 16h34.32.120362 +0100,
PROMISE,XPLEDGE,2222222,7,1,12,f,f,0,0,0,6,,,,,0,6,6,8,,,,,4.465114200022072,,,,,,,,,,,4.449075700016692,4.465114200022072,4.548943100031465,4.532658600015566,,,,,,,,,,,,,,,,,,,121173,001,2024-03-06_16h34.22.762,AB,2023.2.3,60.65741729715507,2024-03-06 16h34.32.120362 +0100,
XHANDSX,XXFEETX,7777777,7,1,12,j,f,0,0,0,6,,,,,0,7,7,0,,,,,4.548943100031465,,,,,,,,,,,4.532996699912474,4.548943100031465,4.63232950004749,4.6159216000232846,,,,,,,,,,,,,,,,,,,121173,001,2024-03-06_16h34.22.762,AB,2023.2.3,60.65741729715507,2024-03-06 16h34.32.120362 +0100,
CURTAIN,XDRAPEX,8888888,9,7,4,f,f,0,0,0,6,,,,,0,8,8,2,,,,,4.63232950004749,,,,,,,,,,,4.616182700032368,4.63232950004749,4.715471199946478,4.699696599971503,,,,,,,,,,,,,,,,,,,121173,001,2024-03-06_16h34.22.762,AB,2023.2.3,60.65741729715507,2024-03-06 16h34.32.120362 +0100,
XXBAGXX,XXSACKX,3333333,9,3,8,j,f,0,0,0,6,,,,,,,,,0,0,0,5,4.882267100038007,,,,,,,,,,,4.87067209999077,4.882267100038007,4.966661599930376,4.9498429000377655,,,,,4.699771499959752,4.79920189990662,4.882267100038007,4.86601629992947,,,,,,,,,,,121173,001,2024-03-06_16h34.22.762,AB,2023.2.3,60.65741729715507,2024-03-06 16h34.32.120362 +0100,
XSTOREX,XXSHOPX,1111111,9,3,8,j,f,0,0,0,6,,,,,,,,,0,1,1,1,4.966661599930376,,,,,,,,,,,4.950128399999812,4.966661599930376,5.049151299986988,5.033389500109479,,,,,,,,,,,,,,,,,,,121173,001,2024-03-06_16h34.22.762,AB,2023.2.3,60.65741729715507,2024-03-06 16h34.32.120362 +0100,
XSTRAWX,XXHAYXX,4444444,7,1,12,f,f,0,0,0,6,,,,,,,,,0,2,2,6,5.049151299986988,,,,,,,,,,,5.0336553999222815,5.049151299986988,5.132415700005367,5.1163012001197785,,,,,,,,,,,,,,,,,,,121173,001,2024-03-06_16h34.22.762,AB,2023.2.3,60.65741729715507,2024-03-06 16h34.32.120362 +0100,
XHANDSX,XXFEETX,7777777,7,1,12,j,f,0,0,0,6,,,,,,,,,0,3,3,0,5.132415700005367,,,,,,,,,,,5.11655699997209,5.132415700005367,5.215786200016737,5.199749799910933,,,,,,,,,,,,,,,,,,,121173,001,2024-03-06_16h34.22.762,AB,2023.2.3,60.65741729715507,2024-03-06 16h34.32.120362 +0100,
XXCATXX,XKITTEN,9999999,10,1,9,j,f,0,0,0,6,,,,,,,,,0,4,4,3,5.215786200016737,,,,,,,,,,,5.200039400020614,5.215786200016737,5.299153600120917,5.283018900081515,,,,,,,,,,,,,,,,,,,121173,001,2024-03-06_16h34.22.762,AB,2023.2.3,60.65741729715507,2024-03-06 16h34.32.120362 +0100,
XPONDER,XTHINKX,5555555,9,7,4,j,f,0,0,0,6,,,,,,,,,0,5,5,4,5.299153600120917,,,,,,,,,,,5.283317599911243,5.299153600120917,5.382921000011265,5.366986199980602,,,,,,,,,,,,,,,,,,,121173,001,2024-03-06_16h34.22.762,AB,2023.2.3,60.65741729715507,2024-03-06 16h34.32.120362 +0100,
PROMISE,XPLEDGE,2222222,7,1,12,f,f,0,0,0,6,,,,,,,,,0,6,6,8,5.382921000011265,,,,,,,,,,,5.3672531000338495,5.382921000011265,5.466722599929199,5.450461700093001,,,,,,,,,,,,,,,,,,,121173,001,2024-03-06_16h34.22.762,AB,2023.2.3,60.65741729715507,2024-03-06 16h34.32.120362 +0100,
CURTAIN,XDRAPEX,8888888,9,7,4,f,f,0,0,0,6,,,,,,,,,0,7,7,2,5.466722599929199,,,,,,,,,,,5.450723200105131,5.466722599929199,5.549794899998233,5.534005099907517,,,,,,,,,,,,,,,,,,,121173,001,2024-03-06_16h34.22.762,AB,2023.2.3,60.65741729715507,2024-03-06 16h34.32.120362 +0100,
XWEEDSX,XROOTSX,7777777,8,3,9,j,f,0,0,0,6,,,,,,,,,0,8,8,7,5.549794899998233,,,,,,,,,,,5.534306300105527,5.549794899998233,5.633554799947888,5.616646999958903,,,,,,,,,,,,,,,,,,,121173,001,2024-03-06_16h34.22.762,AB,2023.2.3,60.65741729715507,2024-03-06 16h34.32.120362 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.616719499928877,5.633554799947888,6.6365368000697345,6.6365368000697345,6.6365368000697345,8.619778800057247,8.636381299933419,8.636381299933419,,9.604598700068891,,,,,,,,
