T0,T2,T1,lagT1,lagT2,lagEnd,responseT1,responseT2,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_context.thisRepN,trials_context.thisTrialN,trials_context.thisN,trials_context.thisIndex,trials_T1.thisRepN,trials_T1.thisTrialN,trials_T1.thisN,trials_T1.thisIndex,trials_T2.thisRepN,trials_T2.thisTrialN,trials_T2.thisN,trials_T2.thisIndex,thisRow.t,notes,instructions.started,text_insctructions.started,instructions.stopped,context.started,context_word.started,blankContext.started,context_word.stopped,blankContext.stopped,context.stopped,distractors.started,text_disctractors.started,text_disctractors.stopped,distractors.stopped,T1_number.started,text_T1.started,text_T1.stopped,T1_number.stopped,T2_probe.started,text_T2.started,text_T2.stopped,T2_probe.stopped,Ask_T1.started,blankT1_1.started,text_T1ask.started,key_resp_T1.started,blankT1_1.stopped,text_T1ask.stopped,blankT1_2.started,key_resp_T1.stopped,blankT1_2.stopped,Ask_T1.stopped,key_resp_T1.keys,key_resp_T1.corr,Ask_T2.started,blankT2_1.started,blankT2_1.stopped,text_T2ask.started,key_resp_T2.started,text_T2ask.stopped,blankT2_2.started,key_resp_T2.stopped,blankT2_2.stopped,Ask_T2.stopped,key_resp_T2.keys,key_resp_T2.corr,participant,session,date,expName,psychopyVersion,frameRate,expStart,
XHANDSX,XXFEETX,7777777,7,1,12,j,f,0,0,0,3,,,,,0,0,0,0,,,,,3.969020799966529,,0.014331899816170335,0.031714299926534295,0.2157389000058174,0.2206955999135971,0.2322684999089688,1.1997765998821706,1.2329744999296963,2.2012102999724448,2.1843379999045283,3.9571825999300927,3.969020799966529,4.052481399849057,4.036380199948326,3.7693880998995155,3.8855595998466015,3.969020799966529,3.952684599906206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312036,001,2024-03-06_16h43.36.905,AB,2023.2.3,60.36609621779943,2024-03-06 16h43.46.562496 +0100,
XSTOREX,XXSHOPX,1111111,9,3,8,j,f,0,0,0,3,,,,,0,1,1,1,,,,,4.052481399849057,,,,,,,,,,,4.036633099894971,4.052481399849057,4.136012200033292,4.1195906000211835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312036,001,2024-03-06_16h43.36.905,AB,2023.2.3,60.36609621779943,2024-03-06 16h43.46.562496 +0100,
XXCATXX,XKITTEN,9999999,10,1,9,j,f,0,0,0,3,,,,,0,2,2,3,,,,,4.136012200033292,,,,,,,,,,,4.1198432999663055,4.136012200033292,4.220010599819943,4.2032369000371546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312036,001,2024-03-06_16h43.36.905,AB,2023.2.3,60.36609621779943,2024-03-06 16h43.46.562496 +0100,
XSTRAWX,XXHAYXX,4444444,7,1,12,f,f,0,0,0,3,,,,,0,3,3,6,,,,,4.220010599819943,,,,,,,,,,,4.2035038999747485,4.220010599819943,4.303154799854383,4.28688729996793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312036,001,2024-03-06_16h43.36.905,AB,2023.2.3,60.36609621779943,2024-03-06 16h43.46.562496 +0100,
PROMISE,XPLEDGE,2222222,7,1,12,f,f,0,0,0,3,,,,,0,4,4,8,,,,,4.303154799854383,,,,,,,,,,,4.287145199952647,4.303154799854383,4.386146100005135,4.370110200019553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312036,001,2024-03-06_16h43.36.905,AB,2023.2.3,60.36609621779943,2024-03-06 16h43.46.562496 +0100,
XXBAGXX,XXSACKX,3333333,9,3,8,j,f,0,0,0,3,,,,,0,5,5,5,,,,,4.386146100005135,,,,,,,,,,,4.370357999810949,4.386146100005135,4.469922699965537,4.453308399999514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312036,001,2024-03-06_16h43.36.905,AB,2023.2.3,60.36609621779943,2024-03-06 16h43.46.562496 +0100,
XPONDER,XTHINKX,5555555,9,7,4,j,f,0,0,0,3,,,,,0,6,6,4,,,,,4.469922699965537,,,,,,,,,,,4.45361249987036,4.469922699965537,4.552931499900296,4.536819000029936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312036,001,2024-03-06_16h43.36.905,AB,2023.2.3,60.36609621779943,2024-03-06 16h43.46.562496 +0100,
XWEEDSX,XROOTSX,7777777,8,3,9,j,f,0,0,0,3,,,,,0,7,7,7,,,,,4.552931499900296,,,,,,,,,,,4.537067499943078,4.552931499900296,4.636891399975866,4.620027899974957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312036,001,2024-03-06_16h43.36.905,AB,2023.2.3,60.36609621779943,2024-03-06 16h43.46.562496 +0100,
CURTAIN,XDRAPEX,8888888,9,7,4,f,f,0,0,0,3,,,,,0,8,8,2,,,,,4.636891399975866,,,,,,,,,,,4.620287499856204,4.636891399975866,4.7199050998315215,4.703787399921566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312036,001,2024-03-06_16h43.36.905,AB,2023.2.3,60.36609621779943,2024-03-06 16h43.46.562496 +0100,
XSTOREX,XXSHOPX,1111111,9,3,8,j,f,0,0,0,3,,,,,,,,,0,0,0,1,4.886473999824375,,,,,,,,,,,4.874974000034854,4.886473999824375,4.9699166000355035,4.953680400038138,,,,,4.703864299925044,4.803316599922255,4.886473999824375,4.870579799870029,,,,,,,,,,,,,,,,,,,,,,,,,312036,001,2024-03-06_16h43.36.905,AB,2023.2.3,60.36609621779943,2024-03-06 16h43.46.562496 +0100,
