probe,sectag,relatedu,firstnum,dis1num,dis2num,bignum,oddeven,dislist,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_context.thisRepN,trials_context.thisTrialN,trials_context.thisN,trials_context.thisIndex,trials_T1.thisRepN,trials_T1.thisTrialN,trials_T1.thisN,trials_T1.thisIndex,trials_T2.thisRepN,trials_T2.thisTrialN,trials_T2.thisN,trials_T2.thisIndex,thisRow.t,notes,instructions.started,text_insctructions.started,instructions.stopped,context.started,context_word.started,blankContext.started,context_word.stopped,blankContext.stopped,context.stopped,distractors.started,text_disctractors.started,distractors.stopped,T1_number.started,text_T1.started,text_T1.stopped,T1_number.stopped,text_disctractors.stopped,T2_probe.started,text_T2.started,text_T2.stopped,T2_probe.stopped,Ask_T1.started,blankT1_1.started,blankT1_1.stopped,text_7.started,key_resp_T1.started,text_7.stopped,blankT1_2.started,key_resp_T1.stopped,blankT1_2.stopped,Ask_T1.stopped,key_resp_T1.keys,key_resp_T1.corr,Ask_T2.started,blankT2_1.started,blankT2_1.stopped,text_11.started,key_resp_T2.started,blankT2_2.started,text_11.stopped,key_resp_T2.stopped,blankT2_2.stopped,Ask_T2.stopped,key_resp_T2.keys,key_resp_T2.corr,key_resp_T1.rt,key_resp_T1.duration,key_resp_T2.rt,key_resp_T2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
果汁,果肉, j,0:09,0:06,0:06,九九,j,火烤,0,0,0,125,,,,,0,0,0,1,,,,,3.935115600004792,,0.015301699982956052,0.03088809992186725,1.0152863999828696,1.0396008999086916,1.048276700079441,2.000499200075865,2.0505391999613494,3.0167236998677254,2.9864167999476194,3.9266969999298453,3.935115600004792,4.00204909988679,3.751429900061339,3.851300499867648,3.935115600004792,3.9185148999094963,4.018452399875969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482520,001,2024-03-06_12h48.31.041,AB,2023.2.3,59.78912381117035,2024-03-06 12h48.43.426701 +0100,
果汁,果肉, j,0:09,0:06,0:06,九九,j,体桑,0,0,0,125,,,,,0,1,1,3,,,,,4.018452399875969,,,,,,,,,,,4.002304899971932,4.018452399875969,4.0857039000838995,,,,,4.101660900050774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482520,001,2024-03-06_12h48.31.041,AB,2023.2.3,59.78912381117035,2024-03-06 12h48.43.426701 +0100,
果汁,果肉, j,0:09,0:06,0:06,九九,j,良智,0,0,0,125,,,,,0,2,2,0,,,,,4.101660900050774,,,,,,,,,,,4.085958400042728,4.101660900050774,4.169236100045964,,,,,4.184948999900371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482520,001,2024-03-06_12h48.31.041,AB,2023.2.3,59.78912381117035,2024-03-06 12h48.43.426701 +0100,
果汁,果肉, j,0:09,0:06,0:06,九九,j,土咽,0,0,0,125,,,,,0,3,3,4,,,,,4.184948999900371,,,,,,,,,,,4.169480399927124,4.184948999900371,4.252394899958745,,,,,4.268732399912551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482520,001,2024-03-06_12h48.31.041,AB,2023.2.3,59.78912381117035,2024-03-06 12h48.43.426701 +0100,
果汁,果肉, j,0:09,0:06,0:06,九九,j,线动,0,0,0,125,,,,,0,4,4,2,,,,,4.268732399912551,,,,,,,,,,,4.25264329998754,4.268732399912551,4.335536299971864,,,,,4.351627599913627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482520,001,2024-03-06_12h48.31.041,AB,2023.2.3,59.78912381117035,2024-03-06 12h48.43.426701 +0100,
果汁,果肉, j,0:09,0:06,0:06,九九,j,土咽,0,0,0,125,,,,,,,,,0,0,0,4,4.518041899893433,,,,,,,,,,,4.511022799881175,4.518041899893433,4.586063500028104,,,,,4.602049499982968,4.3356113999616355,4.435469599906355,4.518041899893433,4.502635499928147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482520,001,2024-03-06_12h48.31.041,AB,2023.2.3,59.78912381117035,2024-03-06 12h48.43.426701 +0100,
果汁,果肉, j,0:09,0:06,0:06,九九,j,火烤,0,0,0,125,,,,,,,,,0,1,1,1,4.602049499982968,,,,,,,,,,,4.586310799932107,4.602049499982968,4.669204999925569,,,,,4.685420800000429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482520,001,2024-03-06_12h48.31.041,AB,2023.2.3,59.78912381117035,2024-03-06 12h48.43.426701 +0100,
果汁,果肉, j,0:09,0:06,0:06,九九,j,良智,0,0,0,125,,,,,,,,,0,2,2,0,4.685420800000429,,,,,,,,,,,4.66945039993152,4.685420800000429,4.752997699892148,,,,,4.768964600050822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482520,001,2024-03-06_12h48.31.041,AB,2023.2.3,59.78912381117035,2024-03-06 12h48.43.426701 +0100,
果汁,果肉, j,0:09,0:06,0:06,九九,j,线动,0,0,0,125,,,,,,,,,0,3,3,2,4.768964600050822,,,,,,,,,,,4.753257199889049,4.768964600050822,4.83642529998906,,,,,4.8525050999596715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482520,001,2024-03-06_12h48.31.041,AB,2023.2.3,59.78912381117035,2024-03-06 12h48.43.426701 +0100,
果汁,果肉, j,0:09,0:06,0:06,九九,j,体桑,0,0,0,125,,,,,,,,,0,4,4,3,4.8525050999596715,,,,,,,,,,,4.836726299952716,4.8525050999596715,4.919776299968362,,,,,4.9357596999034286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482520,001,2024-03-06_12h48.31.041,AB,2023.2.3,59.78912381117035,2024-03-06 12h48.43.426701 +0100,
霉变,霉菌, f,0:09,0:02,0:09,一一,j,土咽,0,1,1,346,,,,,0,0,0,4,,,,,15.862722999881953,,,,,12.911007900023833,12.926476900000125,13.927513299975544,13.927513299975544,14.928586799884215,14.912823599996045,15.855347499949858,15.862722999881953,15.930313099874184,15.663181599928066,15.779348599957302,15.862722999881953,15.84680960001424,15.94647779990919,,,,,4.9198517999611795,4.9357596999034286,5.936890499899164,5.936890499899164,5.936890499899164,7.939030600013211,7.939030600013211,7.939030600013211,8.939896599855274,8.923472800059244,None,0,8.923891399987042,8.939896599855274,9.940793399931863,9.940793399931863,9.940793399931863,11.925731200026348,11.942700200015679,11.942700200015679,12.926476900000125,12.91044700006023,None,0,,,,,482520,001,2024-03-06_12h48.31.041,AB,2023.2.3,59.78912381117035,2024-03-06 12h48.43.426701 +0100,
霉变,霉菌, f,0:09,0:02,0:09,一一,j,线动,0,1,1,346,,,,,0,1,1,2,,,,,15.94647779990919,,,,,,,,,,,15.930569800082594,15.94647779990919,16.013380700023845,,,,,16.02973619988188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482520,001,2024-03-06_12h48.31.041,AB,2023.2.3,59.78912381117035,2024-03-06 12h48.43.426701 +0100,
霉变,霉菌, f,0:09,0:02,0:09,一一,j,火烤,0,1,1,346,,,,,0,2,2,1,,,,,16.02973619988188,,,,,,,,,,,16.013637399999425,16.02973619988188,16.096873099915683,,,,,16.11313880002126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482520,001,2024-03-06_12h48.31.041,AB,2023.2.3,59.78912381117035,2024-03-06 12h48.43.426701 +0100,
霉变,霉菌, f,0:09,0:02,0:09,一一,j,体桑,0,1,1,346,,,,,0,3,3,3,,,,,16.11313880002126,,,,,,,,,,,16.09720249986276,16.11313880002126,16.18031940003857,,,,,16.196462499909103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482520,001,2024-03-06_12h48.31.041,AB,2023.2.3,59.78912381117035,2024-03-06 12h48.43.426701 +0100,
