T0,T2,T1,lagT1,lagT2,lagEnd,responseT1,responseT2,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_context.thisRepN,trials_context.thisTrialN,trials_context.thisN,trials_context.thisIndex,trials_T1.thisRepN,trials_T1.thisTrialN,trials_T1.thisN,trials_T1.thisIndex,trials_T2.thisRepN,trials_T2.thisTrialN,trials_T2.thisN,trials_T2.thisIndex,thisRow.t,notes,instructions.started,text_insctructions.started,instructions.stopped,context.started,context_word.started,blankContext.started,context_word.stopped,blankContext.stopped,context.stopped,distractors.started,text_disctractors.started,distractors.stopped,T1_number.started,text_T1.started,text_T1.stopped,T1_number.stopped,text_disctractors.stopped,T2_probe.started,text_T2.started,text_T2.stopped,T2_probe.stopped,Ask_T1.started,blankT1_1.started,text_T1ask.started,key_resp_T1.started,blankT1_1.stopped,text_T1ask.stopped,blankT1_2.started,key_resp_T1.stopped,blankT1_2.stopped,Ask_T1.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
XXCATXX,XKITTEN,9999999,10,1,9,j,f,0,0,0,7,,,,,0,0,0,3,,,,,3.960561499930918,,0.00694310013204813,0.022548000095412135,0.2078261999413371,0.215147300157696,0.24129480007104576,1.2089865000452846,1.241389499977231,2.210321200080216,2.192291900049895,3.9481720000039786,3.960561499930918,4.0284989001229405,3.7945282999426126,3.876830599969253,3.960561499930918,3.9436081000603735,4.04337349999696,,,,,,,,,,,,,,,507590,001,2024-03-07_12h04.45.613,AB,2023.2.3,59.13618596340981,2024-03-07 12h04.58.826033 +0100,
XWEEDSX,XROOTSX,7777777,8,3,9,j,f,0,0,0,7,,,,,0,1,1,7,,,,,4.04337349999696,,,,,,,,,,,4.02874969993718,4.04337349999696,4.112306599970907,,,,,4.127843500114977,,,,,,,,,,,,,,,507590,001,2024-03-07_12h04.45.613,AB,2023.2.3,59.13618596340981,2024-03-07 12h04.58.826033 +0100,
XXBAGXX,XXSACKX,3333333,9,3,8,j,f,0,0,0,7,,,,,0,2,2,5,,,,,4.127843500114977,,,,,,,,,,,4.112560200039297,4.127843500114977,4.195440000155941,,,,,4.211249399930239,,,,,,,,,,,,,,,507590,001,2024-03-07_12h04.45.613,AB,2023.2.3,59.13618596340981,2024-03-07 12h04.58.826033 +0100,
XSTRAWX,XXHAYXX,4444444,7,1,12,f,f,0,0,0,7,,,,,0,3,3,6,,,,,4.211249399930239,,,,,,,,,,,4.195890299975872,4.211249399930239,4.277935800142586,,,,,4.2956523001194,,,,,,,,,,,,,,,507590,001,2024-03-07_12h04.45.613,AB,2023.2.3,59.13618596340981,2024-03-07 12h04.58.826033 +0100,
XPONDER,XTHINKX,5555555,9,7,4,j,f,0,0,0,7,,,,,0,4,4,4,,,,,4.2956523001194,,,,,,,,,,,4.278249199967831,4.2956523001194,4.362111800117418,,,,,4.37774350005202,,,,,,,,,,,,,,,507590,001,2024-03-07_12h04.45.613,AB,2023.2.3,59.13618596340981,2024-03-07 12h04.58.826033 +0100,
XSTOREX,XXSHOPX,1111111,9,3,8,j,f,0,0,0,7,,,,,0,5,5,1,,,,,4.37774350005202,,,,,,,,,,,4.36240420001559,4.37774350005202,4.444473600015044,,,,,4.461038199951872,,,,,,,,,,,,,,,507590,001,2024-03-07_12h04.45.613,AB,2023.2.3,59.13618596340981,2024-03-07 12h04.58.826033 +0100,
XHANDSX,XXFEETX,7777777,7,1,12,j,f,0,0,0,7,,,,,0,6,6,0,,,,,4.461038199951872,,,,,,,,,,,4.444724899949506,4.461038199951872,4.529247500002384,,,,,4.544137499993667,,,,,,,,,,,,,,,507590,001,2024-03-07_12h04.45.613,AB,2023.2.3,59.13618596340981,2024-03-07 12h04.58.826033 +0100,
PROMISE,XPLEDGE,2222222,7,1,12,f,f,0,0,0,7,,,,,0,7,7,8,,,,,4.544137499993667,,,,,,,,,,,4.529665899928659,4.544137499993667,4.61167040001601,,,,,4.628224099986255,,,,,,,,,,,,,,,507590,001,2024-03-07_12h04.45.613,AB,2023.2.3,59.13618596340981,2024-03-07 12h04.58.826033 +0100,
CURTAIN,XDRAPEX,8888888,9,7,4,f,f,0,0,0,7,,,,,0,8,8,2,,,,,4.628224099986255,,,,,,,,,,,4.6119312001392245,4.628224099986255,4.69461499992758,,,,,4.71130510000512,,,,,,,,,,,,,,,507590,001,2024-03-07_12h04.45.613,AB,2023.2.3,59.13618596340981,2024-03-07 12h04.58.826033 +0100,
XPONDER,XTHINKX,5555555,9,7,4,j,f,0,0,0,7,,,,,,,,,0,0,0,4,4.877715900074691,,,,,,,,,,,4.866438199998811,4.877715900074691,4.945060899946839,,,,,4.962366099935025,4.694690100150183,4.795004799962044,4.877715900074691,4.861962500028312,,,,,,,,,,,507590,001,2024-03-07_12h04.45.613,AB,2023.2.3,59.13618596340981,2024-03-07 12h04.58.826033 +0100,
