T0,T2,T1,lagT1,lagT2,lagEnd,responseT1,responseT2,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_context.thisRepN,trials_context.thisTrialN,trials_context.thisN,trials_context.thisIndex,trials_T1.thisRepN,trials_T1.thisTrialN,trials_T1.thisN,trials_T1.thisIndex,trials_T2.thisRepN,trials_T2.thisTrialN,trials_T2.thisN,trials_T2.thisIndex,thisRow.t,notes,instructions.started,text_insctructions.started,instructions.stopped,context.started,context_word.started,blankContext.started,context_word.stopped,blankContext.stopped,context.stopped,distractors.started,text_disctractors.started,text_disctractors.stopped,distractors.stopped,T1_number.started,text_T1.started,text_T1.stopped,T1_number.stopped,T2_probe.started,text_T2.started,text_T2.stopped,T2_probe.stopped,Ask_T1.started,blankT1_1.started,blankT1_1.stopped,text_T1ask.started,key_resp_T1.started,text_T1ask.stopped,blankT1_2.started,key_resp_T1.stopped,blankT1_2.stopped,Ask_T1.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
XHANDSX,XXFEETX,7777777,7,1,12,j,f,0,0,0,0,,,,,0,0,0,0,,,,,3.9718683999963105,,0.02130529982969165,0.03520449995994568,0.2021236999426037,0.20759149990044534,0.21825989987701178,1.2032013998832554,1.2195519998203963,2.2032657999079674,2.1875599999912083,3.9615254998207092,3.9718683999963105,4.055436599999666,4.039169600000605,3.772332099964842,3.8884260999038815,3.9718683999963105,3.955697199795395,,,,,,,,,,,,,,,613048,001,2024-03-06_16h33.15.734,AB,2023.2.3,59.408422770939644,2024-03-06 16h33.24.634013 +0100,
XXBAGXX,XXSACKX,3333333,9,3,8,j,f,0,0,0,0,,,,,0,1,1,5,,,,,4.055436599999666,,,,,,,,,,,4.039490700000897,4.055436599999666,4.138621099991724,4.1224681998137385,,,,,,,,,,,,,,,,,,,613048,001,2024-03-06_16h33.15.734,AB,2023.2.3,59.408422770939644,2024-03-06 16h33.24.634013 +0100,
XXCATXX,XKITTEN,9999999,10,1,9,j,f,0,0,0,0,,,,,0,2,2,3,,,,,4.138621099991724,,,,,,,,,,,4.122770299902186,4.138621099991724,4.222383699845523,4.205863100010902,,,,,,,,,,,,,,,,,,,613048,001,2024-03-06_16h33.15.734,AB,2023.2.3,59.408422770939644,2024-03-06 16h33.24.634013 +0100,
XPONDER,XTHINKX,5555555,9,7,4,j,f,0,0,0,0,,,,,0,3,3,4,,,,,4.222383699845523,,,,,,,,,,,4.206163699971512,4.222383699845523,4.305553599959239,4.289417999796569,,,,,,,,,,,,,,,,,,,613048,001,2024-03-06_16h33.15.734,AB,2023.2.3,59.408422770939644,2024-03-06 16h33.24.634013 +0100,
PROMISE,XPLEDGE,2222222,7,1,12,f,f,0,0,0,0,,,,,0,4,4,8,,,,,4.305553599959239,,,,,,,,,,,4.289727299939841,4.305553599959239,4.389075599843636,4.372811299981549,,,,,,,,,,,,,,,,,,,613048,001,2024-03-06_16h33.15.734,AB,2023.2.3,59.408422770939644,2024-03-06 16h33.24.634013 +0100,
XWEEDSX,XROOTSX,7777777,8,3,9,j,f,0,0,0,0,,,,,0,5,5,7,,,,,4.389075599843636,,,,,,,,,,,4.373117299983278,4.389075599843636,4.472465900005773,4.456024499842897,,,,,,,,,,,,,,,,,,,613048,001,2024-03-06_16h33.15.734,AB,2023.2.3,59.408422770939644,2024-03-06 16h33.24.634013 +0100,
CURTAIN,XDRAPEX,8888888,9,7,4,f,f,0,0,0,0,,,,,0,6,6,2,,,,,4.472465900005773,,,,,,,,,,,4.456320900004357,4.472465900005773,4.555803399998695,4.5395243999082595,,,,,,,,,,,,,,,,,,,613048,001,2024-03-06_16h33.15.734,AB,2023.2.3,59.408422770939644,2024-03-06 16h33.24.634013 +0100,
XSTOREX,XXSHOPX,1111111,9,3,8,j,f,0,0,0,0,,,,,0,7,7,1,,,,,4.555803399998695,,,,,,,,,,,4.539816499920562,4.555803399998695,4.639548499835655,4.623352299910039,,,,,,,,,,,,,,,,,,,613048,001,2024-03-06_16h33.15.734,AB,2023.2.3,59.408422770939644,2024-03-06 16h33.24.634013 +0100,
XSTRAWX,XXHAYXX,4444444,7,1,12,f,f,0,0,0,0,,,,,0,8,8,6,,,,,4.639548499835655,,,,,,,,,,,4.623642999911681,4.639548499835655,4.7229819998610765,4.706752899801359,,,,,,,,,,,,,,,,,,,613048,001,2024-03-06_16h33.15.734,AB,2023.2.3,59.408422770939644,2024-03-06 16h33.24.634013 +0100,
CURTAIN,XDRAPEX,8888888,9,7,4,f,f,0,0,0,0,,,,,,,,,0,0,0,2,4.872925999807194,,,,,,,,,,,4.862434499897063,4.872925999807194,4.95611109980382,4.939962199889123,,,,,4.706853799987584,4.789444099878892,4.872925999807194,4.856596699915826,,,,,,,,,,,613048,001,2024-03-06_16h33.15.734,AB,2023.2.3,59.408422770939644,2024-03-06 16h33.24.634013 +0100,
