T0,T2,T1,lagT1,lagT2,lagEnd,responseT1,responseT2,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_context.thisRepN,trials_context.thisTrialN,trials_context.thisN,trials_context.thisIndex,trials_T1.thisRepN,trials_T1.thisTrialN,trials_T1.thisN,trials_T1.thisIndex,trials_T2.thisRepN,trials_T2.thisTrialN,trials_T2.thisN,trials_T2.thisIndex,thisRow.t,notes,instructions.started,text_insctructions.started,instructions.stopped,T0_context.started,context_word.started,blankContext.started,context_word.stopped,blankContext.stopped,T0_context.stopped,distractors.started,text_disctractors.started,distractors.stopped,T1_number.started,text_T1.started,text_T1.stopped,T1_number.stopped,text_disctractors.stopped,T2_probe.started,text_T2.started,text_T2.stopped,T2_probe.stopped,Ask_T1.started,blankT1_1.started,blankT1_1.stopped,text_T1ask.started,key_resp_T1.started,text_T1ask.stopped,blankT1_2.started,key_resp_T1.stopped,blankT1_2.stopped,Ask_T1.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
XPONDER,XTHINKX,5555555,9,7,4,j,f,0,0,0,5,,,,,0,0,0,4,,,,,3.971901600016281,,0.017445100005716085,0.034662699908949435,0.20140279992483556,0.2068776999367401,0.21799629996530712,1.202550399932079,1.2192029999569058,2.219660299946554,2.187828499940224,3.960464100004174,3.971901600016281,4.0387129000155255,3.788090099929832,3.8882980999769643,3.971901600016281,3.9556712999474257,4.054994500009343,,,,,,,,,,,,,,,901174,001,2024-04-18_13h13.35.655,AB,2023.2.3,60.03186489095139,2024-04-18 13h13.46.765762 +0200,
XXCATXX,XKITTEN,9999999,10,1,9,j,f,0,0,0,5,,,,,0,1,1,3,,,,,4.054994500009343,,,,,,,,,,,4.0389606999233365,4.054994500009343,4.122606899938546,,,,,4.138685900019482,,,,,,,,,,,,,,,901174,001,2024-04-18_13h13.35.655,AB,2023.2.3,60.03186489095139,2024-04-18 13h13.46.765762 +0200,
XXBAGXX,XXSACKX,3333333,9,3,8,j,f,0,0,0,5,,,,,0,2,2,5,,,,,4.138685900019482,,,,,,,,,,,4.12286659993697,4.138685900019482,4.206537899910472,,,,,4.2224846999160945,,,,,,,,,,,,,,,901174,001,2024-04-18_13h13.35.655,AB,2023.2.3,60.03186489095139,2024-04-18 13h13.46.765762 +0200,
XHANDSX,XXFEETX,7777777,7,1,12,j,f,0,0,0,5,,,,,0,3,3,0,,,,,4.2224846999160945,,,,,,,,,,,4.206796000013128,4.2224846999160945,4.289084399933927,,,,,4.305353499948978,,,,,,,,,,,,,,,901174,001,2024-04-18_13h13.35.655,AB,2023.2.3,60.03186489095139,2024-04-18 13h13.46.765762 +0200,
XSTRAWX,XXHAYXX,4444444,7,1,12,f,f,0,0,0,5,,,,,0,4,4,6,,,,,4.305353499948978,,,,,,,,,,,4.289346999954432,4.305353499948978,4.372366199968383,,,,,4.388558999984525,,,,,,,,,,,,,,,901174,001,2024-04-18_13h13.35.655,AB,2023.2.3,60.03186489095139,2024-04-18 13h13.46.765762 +0200,
XSTOREX,XXSHOPX,1111111,9,3,8,j,f,0,0,0,5,,,,,0,5,5,1,,,,,4.388558999984525,,,,,,,,,,,4.3726183999096975,4.388558999984525,4.456262199906632,,,,,4.472086499910802,,,,,,,,,,,,,,,901174,001,2024-04-18_13h13.35.655,AB,2023.2.3,60.03186489095139,2024-04-18 13h13.46.765762 +0200,
XWEEDSX,XROOTSX,7777777,8,3,9,j,f,0,0,0,5,,,,,0,6,6,7,,,,,4.472086499910802,,,,,,,,,,,4.456533499993384,4.472086499910802,4.539501799969003,,,,,4.555903099942952,,,,,,,,,,,,,,,901174,001,2024-04-18_13h13.35.655,AB,2023.2.3,60.03186489095139,2024-04-18 13h13.46.765762 +0200,
PROMISE,XPLEDGE,2222222,7,1,12,f,f,0,0,0,5,,,,,0,7,7,8,,,,,4.555903099942952,,,,,,,,,,,4.539761399966665,4.555903099942952,4.623131399974227,,,,,4.639591699931771,,,,,,,,,,,,,,,901174,001,2024-04-18_13h13.35.655,AB,2023.2.3,60.03186489095139,2024-04-18 13h13.46.765762 +0200,
CURTAIN,XDRAPEX,8888888,9,7,4,f,f,0,0,0,5,,,,,0,8,8,2,,,,,4.639591699931771,,,,,,,,,,,4.623399899923243,4.639591699931771,4.706253899959847,,,,,4.722333999932744,,,,,,,,,,,,,,,901174,001,2024-04-18_13h13.35.655,AB,2023.2.3,60.03186489095139,2024-04-18 13h13.46.765762 +0200,
CURTAIN,XDRAPEX,8888888,9,7,4,f,f,0,0,0,5,,,,,,,,,0,0,0,2,4.872725199908018,,,,,,,,,,,4.861471200012602,4.872725199908018,4.939854399999604,,,,,4.9559797999681905,4.706325099919923,4.789414300001226,4.872725199908018,4.856506299925968,,,,,,,,,,,901174,001,2024-04-18_13h13.35.655,AB,2023.2.3,60.03186489095139,2024-04-18 13h13.46.765762 +0200,
